"id","text"
"107","*Lokasi kerja Anda saat ini? *
(Pilihan di bawah berdasarkan inputan anda sebelumnya. Jika kondisi sekarang berbeda, silahkan ketik inputan text)"
"20","*Masukkan reason reject ticket:*"
"14","- Password harus terdiri dari 8-12 karakter dan mengandung 1 huruf besar
- Tidak boleh mengandung nama user domain, nama bulan, kata 'telkomsel' dan 'tsel'"
"140","/checkticket - Cek Status Ticket"
"95","/confirm - Create Tiket Remedy"
"120","/desmita - FAQ Desmita"
"99","/follup - (Resolution Time Berjalan)"
"98","/pending - (Resolution Time Tidak Berjalan)"
"97","/reject - Reject tiket"
"130","/resetpass - Reset Password Domain"
"96","/respon - Respon Tiket (Usahakan Sebelum 15mnt)"
"100","/solve - Solve tiket"
"131","/unlockuser - Unlock User Domain"
"28","<b>Masukkan reason pending ticket:</b>"
"31","<b>Masukkan solusi dari ticket diatas:</b>"
"36","<b>Masukkan summary dari ticket di atas:</b>"
"11","Anda akan mendaftar sebagai user non-organik Telkomsel. Masukkan nama lengkap Anda (sesuai kartu identitas):"
"169","Anda masih dalam proses %s, apakah anda ingin melanjutkan proses ini?"
"187","Anda memasukkan detail complain visa: *%s*"
"185","Anda memasukkan hostname visa: *%s*"
"184","Anda memasukkan nama vendor: *%s*"
"177","Anda memilih directorate: *%s*"
"182","Anda memilih lokasi kerja: *%s*"
"145","Anda memilih Nama Robot RPA: *%s*"
"150","Anda memilih problem robot RPA: *%s*"
"179","Anda memilih sub-directorate: *%s*"
"176","Anda memilih unit kerja: *%s*"
"171","Anda memilih VISA type request: *%s*"
"173","Anda memilih VISA type user: *%s*"
"109","Anda menekan tombol pilihan."
"74","Anda menggunakan login domain *%s*, apakah anda ingin melanjutkan proses ini menggunakan domain tersebut? "
"67"," Anda punya waktu tersisa *%s* hari sebelum expired. "
"1","Anda terhubung dengan Bot DitaAja. \n Silakan masukkan informasi Anda untuk mendaftar: \n (NIK atau Akun Domain)"
"13","Anda tidak bisa lagi menggunakan kategori lama. \n untuk kembali menggunakan bot ini, silakan ketik /start "
"22","Anda tidak dapat request tiket karena terdaftar sebagai Team Support Ticketing IT Jateng DIY."
"137","Anda tidak memiliki tiket active, untuk membuat tiket baru, silahkan ketik /start."
"30","Apa Anda yakin akan mengubah status tiket ini menjadi <b>Follow Up</b>? (counting resolution time mulai berjalan)"
"27","Apa Anda yakin akan mengubah status tiket ini menjadi <b>PENDING</b>?"
"33","Apa Anda yakin akan solved ticket ini?"
"87","Apa benar nomor yang bisa dihubungi adalah *%s*?"
"114","Apa benar tiket di atas yang akan Anda <b>Reject</b>?"
"23","Apa benar tiket di atas yang akan Anda <b>Respon</b>?"
"94","Apa tiket ini akan dicatat ke remedy?"
"163","Apa yang membuat %s %s merasa %s? \n (Jika pilihan di bawah kurang cocok, balas dengan text)"
"168","Apakah anda *Create Ticket Remedy* dengan data di atas?"
"164","Apakah anda memilih %s %s (<b>%s</b>) dengan ulasan: <b>%s</b>"
"64","Apakah Anda yakin akan melakukan reset password untuk domain *%s*?"
"62","Apakah Anda yakin akan melakukan unlock domain *%s*?"
