id,text
107,*Your current work location? *
,"(The options below are based on your previous input. If the current condition is different, please type in the input text)"
20,*Enter the reason for rejecting the ticket:*
14,- Passwords must be 8-12 characters long and contain 1 uppercase letter
,"- Must not contain user domain name, month name, the words 'telkomsel' and 'tsel'"
140,/checkticket - Check Ticket Status
95,/confirm - Create Remedy Ticket
120,/desmita - Desmita FAQ
99,/follup - (Resolution Time Running)
98,/pending - (Resolution Time Not Running)
97,/reject - Reject ticket
130,/resetpass - Reset Domain Password
96,/response - Ticket Response (Try Before 15min)
100,/solve - Solve tickets
131,/unlockuser - Unlock User Domain
28,<b>Insert reason for pending ticket:</b>
31,<b>Insert the solution of the ticket above:</b>
36,<b>Insert summary of the ticket above:</b>
11,You will register as a non-organic Telkomsel user. Enter your full name (according to your ID card):
169,"You are still in process %s, do you want to continue this process?"
187,You entered the details of the visa complaint: *%s*
185,You enter the visa hostname: *%s*
184,You enter the vendor name: *%s*
177,You chose directorate: *%s*
182,You choose the work location: *%s*
145,You selected RPA Robot Name: *%s*
150,You choose the RPA robot problem: *%s*
179,You choose a sub-directorate: *%s*
176,You selected a work unit: *%s*
171,You choose VISA type request: *%s*
173,You choose VISA type user: *%s*
109,You press the selection button.
74,"You are using *%s* domain login, do you want to continue this process using that domain?"
67,You have *%s* days left before it expires.
1,You are connected with Bot DitaAja.
,Please enter your information to register:
,(NIK or Domain Account) You can no longer use the old categories.
13,"to reuse this bot, please type /start"
22,You cannot request tickets because you are registered as IT Jateng DIY Ticketing Support Team.
137,"You do not have an active ticket, to create a new ticket, please type /start."
30,Are you sure you want to change the status of this ticket to <b>Follow Up</b>? (counting resolution time starts)
27,Are you sure you want to change the status of this ticket to <b>PENDING</b>?
33,Are you sure you solved this ticket?
87,Is it true that the number to call is *%s*?
114,Is it true that the ticket above you will <b>Reject</b>?
23,Is it true that the ticket above you will <b>Respond</b>?
94,Will this ticket be logged to remedy?
163,What makes %s %s feel %s?
,"(If the options below are not suitable, reply with text)"
168,Did you *Create Ticket Remedy* with the data above?
164,Did you vote for %s %s (<b>%s</b>) with review: <b>%s</b>
